,ntaname,borough,#trees,area,health,trees/sq.mile,borough_y,#properties,avg.landprice_thous$/acre,avg.propvalue_thous$/acre,avtot,properties/sq.mile
37,college point,queens,3294.0,1.8133745350630517,13.321190042501518,1816.5028439011728,queens,5242,38.38378,701.11688,108722.12,2890.7431413873546
38,corona,queens,1826.0,0.7202842151630139,13.474808324205913,2535.110393314314,queens,4061,29.510540000000002,766.6740500000001,139975.72,5638.052194550618
39,crotona park east,bronx,1332.0,0.5853895823469177,14.215465465465465,2275.407762912017,bronx,1170,39.291160000000005,758.33551,236175.67,1998.668980936231
40,crown heights north,brooklyn,6181.0,1.8515795276343756,13.789839831742434,3338.2309038040626,brooklyn,9710,25.20941,754.8355899999999,141573.73,5244.171181999262
41,crown heights south,brooklyn,1917.0,0.5735583386492652,13.907146583202922,3342.292964503927,brooklyn,2716,34.280809999999995,884.35125,191378.13,4735.350908499044
42,cypress hills-city line,brooklyn,3383.0,0.9903635298079688,14.039314218149572,3415.9173860692977,brooklyn,5944,18.80127,471.0965,48909.18,6001.8365187099935
43,cypress hills-city line,queens,1.0,0.9903635298080234,15.0,1.0097302353145459,brooklyn,5944,18.80127,471.0965,48909.18,6001.836518709662
44,douglas manor-douglaston-little neck,queens,6926.0,2.453303271740877,13.883915680046202,2823.1324189631373,queens,6036,48.31393,961.3702900000001,107326.05,2460.3562346031613
45,dumbo-vinegar hill-downtown brooklyn-boerum hill,brooklyn,2881.0,1.0215047694773924,13.39986115931968,2820.349043963775,brooklyn,6741,84.60450999999999,1477.08395,476725.42,6599.088130982231
46,dyker heights,brooklyn,3086.0,1.0729111860867786,14.06351263771873,2876.2865370576906,brooklyn,7631,20.941779999999998,815.26724,64177.22,7112.424680585625
47,east concourse-concourse village,bronx,2228.0,0.6536387182119721,13.65798922800718,3408.610808880312,bronx,1541,44.18453,1358.2543999999998,509295.68,2357.571479571167
48,east elmhurst,queens,2055.0,0.7076032207085062,14.063260340632606,2904.169935719593,queens,3385,22.55625,674.0475,95246.63,4783.754371002834
49,east flatbush-farragut,brooklyn,2772.0,1.2325264100917397,14.301948051948054,2249.0390285378744,brooklyn,7577,22.82929,516.7297199999999,73108.34,6147.5356129983675
50,east flushing,queens,2966.0,1.0565055197357558,14.19925826028321,2807.3682007282177,queens,4734,26.04253,769.5646899999999,64719.33,4480.809528741533
51,east harlem north,manhattan,2403.0,0.8786335807686059,13.491468997086976,2734.928475984173,manhattan,2405,153.34685000000002,1703.9565,652425.77,2737.204737720323
52,east harlem south,manhattan,1750.0,0.5972612334674969,13.254285714285714,2930.0411644668297,manhattan,1917,203.67881,2793.58592,1198972.4,3209.6508070188074
53,east new york,brooklyn,9162.0,4.1977191067273205,13.516699410609036,2182.613883172139,brooklyn,11977,37.71318,525.46033,107865.52,2853.2161622738167
54,east new york (pennsylvania ave),brooklyn,2856.0,0.6957905290547056,13.96358543417367,4104.683637876093,brooklyn,3560,23.94903,487.78974,96026.61,5116.4824057559135
55,east tremont,bronx,2252.0,0.6906839247338331,13.372557726465367,3260.5362878075484,bronx,1898,38.01393,836.7855999999999,269226.64,2748.000832264088
56,east village,manhattan,1512.0,0.3907798195233485,13.472222222222221,3869.186494441432,manhattan,2992,197.08037,2281.1925699999997,785294.51,7656.485444026959
57,east williamsburg,brooklyn,2178.0,1.403695829760644,13.914141414141412,1551.618202336178,brooklyn,4866,44.96112,774.25745,160607.15,3466.5629809769703
58,eastchester-edenwald-baychester,bronx,2423.0,1.4440137975816467,13.992983904250927,1677.9618062222846,bronx,4627,27.04222,547.8315200000001,92691.53,3204.26301171709
59,elmhurst,queens,3169.0,1.1720668176544913,13.742505522246766,2703.770768241454,queens,7682,36.03605,851.9162299999999,187293.98,6554.233840842805
60,elmhurst-maspeth,queens,1877.0,0.7865467865731252,14.022376132125732,2386.380609572925,queens,4023,34.02914,751.45015,119092.39,5114.762489244475
61,erasmus,brooklyn,1329.0,0.5209267243277903,14.066967644845748,2551.222538476897,brooklyn,3064,29.67962,634.38715,121785.79,5881.825325728528
62,far rockaway-bayswater,queens,4702.0,1.9427377423811019,13.330497660569971,2420.295800830548,queens,5306,26.76701,570.97117,106167.55,2731.197260571435
63,flatbush,brooklyn,5713.0,1.6232928541273084,13.913880623140207,3519.3896070412648,brooklyn,6308,45.18198,1032.45151,211216.09,3885.9285211301058
64,flatlands,brooklyn,5308.0,1.9492430054704548,13.980783722682743,2723.108399057151,brooklyn,11450,19.31424,523.32166,57849.5,5874.075201432626
65,flushing,queens,2912.0,1.358222604873366,13.648695054945055,2143.9784535698404,queens,10728,45.876580000000004,542.0571600000001,193872.48,7898.557984168011
66,fordham south,bronx,995.0,0.22629975942126826,13.768844221105528,4396.823056924944,bronx,581,74.59055000000001,1311.0484099999999,526158.43,2567.391151832555
67,forest hills,queens,7327.0,2.0742851693212,13.908147945953324,3532.3012035021807,queens,9220,50.05776,1120.05494,212113.09,4444.904749050103
68,fort greene,brooklyn,1967.0,0.5912398681093679,13.802745297407222,3326.906905466232,brooklyn,2833,62.247879999999995,1608.3029199999999,355630.55,4791.625451543383
69,fresh meadows-utopia,queens,2572.0,0.996285777426238,13.969673405909795,2581.588594634357,queens,2869,43.83121,904.26194,125085.08,2879.695831262042
70,ft. totten-bay terrace-clearview,queens,2788.0,1.6605182306731052,13.814562410329984,1678.9939119607627,queens,4533,60.19822,786.3204599999999,128516.2,2729.870661017982
71,georgetown-marine park-bergen beach-mill basin,brooklyn,6965.0,2.4916684954370045,14.16511127063891,2795.315674117569,brooklyn,11982,22.66777,582.92251,61102.78,4808.8259019779925
72,glen oaks-floral park-new hyde park,queens,6432.0,1.6380760968562902,14.032960199004973,3926.5575099618127,queens,4126,61.45467,885.62314,179274.05,2518.8085021925435
73,glendale,queens,4099.0,1.0767022429191553,13.653330080507441,3806.994948656177,queens,6735,24.66768,605.06138,68421.64,6255.211265967151
74,gramercy,manhattan,1087.0,0.2699913438271204,13.808647654093836,4026.055000844852,manhattan,2613,283.66202000000004,2990.06333,1150796.01,9678.088056308738
75,grasmere-arrochar-ft. wadsworth,staten island,2085.0,1.468010269402074,14.0,1420.2897918753854,staten island,3830,20.21726,489.1282,60880.0,2608.973574524089
76,gravesend,brooklyn,1323.0,1.1242377712028242,13.631897203325774,1176.7973233851765,brooklyn,3743,39.07506,624.85498,107543.78,3329.366879388296
77,great kills,staten island,10267.0,3.2145279050525937,13.617902016168307,3193.937120241617,staten island,12740,14.54698,465.36268,41999.23,3963.2569311267366
78,greenpoint,brooklyn,3292.0,1.2670022595521273,13.856318347509113,2598.2589811352736,brooklyn,5876,34.350660000000005,771.14543,131989.91,4637.718643119948
79,grymes hill-clifton-fox hills,staten island,2442.0,1.3541865163819011,14.082719082719082,1803.2966437477944,staten island,4104,24.34095,449.70840999999996,73889.27,3030.601730524549
80,hamilton heights,manhattan,2299.0,0.5773694314917476,13.703784254023487,3981.85264858945,manhattan,2205,59.37688,1091.90001,315907.56,3819.0452762678283
81,hammels-arverne-edgemere,queens,2932.0,2.2201761762153147,12.244201909959074,1320.615918416941,queens,4293,42.089349999999996,463.32640000000004,104477.96,1933.6303334801935
82,highbridge,bronx,1671.0,0.5903364437880313,13.435068821065233,2830.589264111223,bronx,1056,45.09475,918.00503,315807.8,1788.8104505693907
83,hollis,queens,2435.0,0.8209858838813959,14.344969199178646,2965.9462456138567,queens,3641,18.51818,472.06372,44287.11,4434.9118194168595
84,homecrest,brooklyn,4072.0,1.0758137940520114,13.586689587426324,3785.041633146354,brooklyn,6054,28.68421,1015.4090600000001,110142.66,5627.367889751479
85,hudson yards-chelsea-flatiron-union square,manhattan,2841.0,1.3296452376535004,14.382259767687435,2136.6601553160694,manhattan,10007,314.22868,3319.87043,1360488.58,7526.067643170682
86,hunters point-sunnyside-west maspeth,queens,5015.0,3.673877095134325,13.47357926221336,1365.042942411398,queens,8434,75.3348,1128.95307,399446.2,2295.667432960665
87,hunts point,bronx,3293.0,1.7838169775777082,13.815669602186455,1846.0414052520405,bronx,1747,103.63967,1205.9161000000001,474257.25,979.3605633086288
88,jackson heights,queens,6528.0,1.7166294557469823,13.74157475490196,3802.8008771172895,queens,9070,138.30929,1475.55075,456041.32,5283.609674548686
89,jamaica,queens,4043.0,1.6969423117934468,13.885728419490476,2382.5205912433617,queens,5623,61.85393,853.47835,244556.67,3313.607045402281
90,jamaica estates-holliswood,queens,3965.0,1.5348791841067646,14.099621689785627,2583.2652113967292,queens,4190,38.19966,871.46286,102482.96,2729.8565537836807
91,kensington-ocean parkway,brooklyn,2153.0,0.5700938703619929,13.685555039479794,3776.571038437772,brooklyn,3037,31.140849999999997,802.7544499999999,117906.44,5327.192867503722
92,kew gardens,queens,1935.0,0.7377874456496963,13.330749354005167,2622.7065957947243,queens,2440,59.64129,837.5144,213214.69,3307.185578159755
93,kew gardens hills,queens,4902.0,1.3590705942558556,14.187066503467973,3606.876655795821,queens,5147,45.544129999999996,817.54879,167658.78,3787.1469088904714
94,kingsbridge heights,bronx,1111.0,0.4721619273164954,13.712871287128715,2353.006322035119,bronx,741,77.59255,2101.56325,840510.0,1569.3768538506058
95,laurelton,queens,4414.0,1.4270877161531426,13.650883552333484,3093.0123986340363,queens,6330,15.803040000000001,449.84472,36573.74,4435.606815440292
96,lenox hill-roosevelt island,manhattan,2215.0,0.7715154300210679,12.717832957110607,2870.9730406033677,manhattan,8410,232.08696,2164.70417,890099.86,10900.624501794277
97,lincoln square,manhattan,2022.0,0.5669473970780126,13.699307616221564,3566.4684420832973,manhattan,11701,194.37523000000002,1644.6643000000001,690560.32,20638.5990310666
98,lindenwood-howard beach,brooklyn,1.0,2.3157335618435777,10.0,0.4318286077798563,queens,6417,17.86377,471.85825,52798.5,2771.0441761233383
99,lindenwood-howard beach,queens,4380.0,2.31573356184348,13.769406392694066,1891.4093020758512,queens,6417,17.86377,471.85825,52798.5,2771.044176123455
100,longwood,bronx,1476.0,0.3849737495480283,14.244579945799458,3834.027649243285,bronx,1229,35.49986,800.67248,251507.3,3192.425461327911
101,lower east side,manhattan,1846.0,0.8356750962536994,13.429035752979415,2208.9924759940195,manhattan,1825,309.15815999999995,3120.48625,1244212.85,2183.8630924642935
102,madison,brooklyn,3362.0,0.9820923038087064,13.842950624628198,3423.3034786665594,brooklyn,6529,23.470959999999998,677.07624,82471.05,6648.051282633542
103,manhattanville,manhattan,862.0,0.3819113552571081,13.602088167053365,2257.0682650158165,manhattan,473,315.55655,4796.586679999999,2134240.2,1238.5072962325767
104,marble hill-inwood,bronx,289.0,0.6360726823849324,13.737024221453288,454.3505923197402,manhattan,860,157.75509,2096.6508,879892.43,1352.0467453113374
105,marble hill-inwood,manhattan,1350.0,0.6360726823849143,12.944444444444445,2122.3989606632067,manhattan,860,157.75509,2096.6508,879892.43,1352.046745311376
106,mariner's harbor-arlington-port ivory-graniteville,staten island,3582.0,3.1932942974776366,13.604131769960913,1121.7256119579706,staten island,7023,24.77076,379.1538,60411.57,2199.296195639539
107,maspeth,queens,3107.0,1.2781637755466333,13.863855809462507,2430.8308993276128,queens,6616,23.65953,663.97371,82456.11,5176.175484374473
108,melrose south-mott haven north,bronx,1997.0,0.6195398855529679,13.668002003004506,3223.3598620007897,bronx,2099,44.94786,956.50082,342354.97,3387.998172428472
109,middle village,queens,5043.0,2.0691612658867147,14.053142970454097,2437.2194101743357,queens,9893,25.98142,651.41916,56679.58,4781.164311888698
110,midtown-midtown south,manhattan,1136.0,1.082972278688884,12.610035211267604,1048.9649849350849,manhattan,9865,1167.80237,9993.068949999999,4477268.55,9109.189767944203
111,midwood,brooklyn,4664.0,1.284133034356289,13.652444253859349,3632.022442548543,brooklyn,6719,34.65276,969.92414,117488.1,5232.32392613286
112,morningside heights,manhattan,2492.0,0.7229921891535658,13.623595505617976,3446.7868911799433,manhattan,2080,178.33329,2462.6687599999996,1069853.81,2876.9328786734673
113,morrisania-melrose,bronx,2135.0,0.6059082888867359,13.962529274004686,3523.635571849887,bronx,2404,29.43414,674.84107,204899.8,3967.597149755095
114,mott haven-port morris,bronx,2377.0,1.5029030990300358,13.49179638199411,1581.6056281566662,bronx,2253,64.71547,1184.8524,453150.6,1499.0986454509755
115,mount hope,bronx,1881.0,0.5278893640345304,13.702817650186072,3563.246634908446,bronx,1329,43.90593,1110.30681,405051.36,2517.572981283001
116,murray hill,queens,6838.0,1.8827579002385064,14.355074583211465,3631.906151679814,queens,8719,32.128029999999995,776.1903100000001,95629.89,4630.97246804567
117,murray hill-kips bay,manhattan,1658.0,0.5196092592401471,12.982509047044632,3190.85922838362,manhattan,7096,289.91884999999996,2675.0075899999997,1123738.09,13656.41561194823
118,new brighton-silver lake,staten island,3444.0,1.6908159712681208,14.394599303135891,2036.886366419275,staten island,4955,21.66815,479.76627,57285.64,2930.5377310126332
119,new dorp-midland beach,staten island,5339.0,1.988257974661412,14.08784416557408,2685.2652261632197,staten island,7103,21.19964,402.91972999999996,49519.73,3572.4740403516284
120,new springville-bloomfield-travis,staten island,8094.0,11.757079777065432,13.931924882629108,688.4362574275447,staten island,10466,39.95861,579.13818,95061.25,890.1870361053478
121,north corona,queens,2141.0,0.6456910568648025,13.995796356842597,3315.8272477797245,queens,4668,28.95451,622.7798,100557.05,7229.463611693487
122,north riverdale-fieldston-riverdale,bronx,1870.0,1.7593649237688864,13.989304812834225,1062.8835295830002,bronx,2556,82.93038,1352.51009,316447.0,1452.7969527348387
123,north side-south side,brooklyn,3271.0,1.0355604382890748,14.211250382146131,3158.676093694984,brooklyn,8763,30.08335,579.57006,166506.4,8462.084564062716
124,norwood,bronx,1709.0,0.5640541896486012,13.879461673493273,3029.850733073512,bronx,1103,64.0405,1458.25325,573313.11,1955.485873949727
125,oakland gardens,queens,5569.0,1.8297204768495792,14.040222661159993,3043.6342984960893,queens,4716,36.07951,887.8475500000001,104250.17,2577.44287155819
126,oakwood-oakwood beach,staten island,5460.0,2.00735636742437,13.869963369963369,2719.9953573792677,staten island,6150,15.31366,483.59305,45224.13,3063.7310344107145
127,ocean hill,brooklyn,2262.0,0.7206265199222343,14.232979664014149,3138.935270164775,brooklyn,4061,23.41585,558.43953,85716.52,5635.374063721994
128,ocean parkway south,brooklyn,2474.0,0.637844917793004,13.698464025869038,3878.685760420016,brooklyn,2854,37.27979,1003.00969,97458.6,4474.441859433599
129,old astoria,queens,1245.0,0.5602759508508371,13.831325301204819,2222.119293375592,queens,3706,29.74814,601.20716,137713.48,6614.597671686701
130,old town-dongan hills-south beach,staten island,4805.0,2.403630813629812,14.049947970863686,1999.0590787708331,staten island,6452,28.88091,464.87460999999996,67984.35,2684.2724612340094
131,ozone park,queens,3093.0,0.8973556296631185,14.2725509214355,3446.793999789316,queens,4574,18.601860000000002,496.77084,53894.54,5097.198756882098
132,park slope-gowanus,brooklyn,5895.0,1.5248086772017715,13.803223070398642,3866.0587968440186,brooklyn,12893,27.14416,1351.0761,159127.23,8455.487034386757
133,park-cemetery-etc-bronx,bronx,1402.0,7.921584642088428,13.930099857346649,176.98479071358884,bronx,25,19991.9562,56806.31532,25551236.12,3.1559342138657067
134,park-cemetery-etc-brooklyn,brooklyn,1898.0,8.208484340457264,13.4536354056902,231.2241726094673,brooklyn,111,6010.76758,19351.998010000003,8693710.41,13.522593867044717
135,park-cemetery-etc-brooklyn,queens,7.0,8.208484340457128,12.857142857142858,0.852776189813645,brooklyn,111,6010.76758,19351.998010000003,8693710.41,13.522593867044941
136,park-cemetery-etc-manhattan,manhattan,1233.0,3.283665936829148,14.46066504460665,375.4949570755177,manhattan,21,-50138.37362,409841.90476,-20093395.05,6.3952912397290085
137,park-cemetery-etc-queens,queens,2050.0,11.18030070007572,13.046341463414636,183.3582168309763,queens,168,2365.6209700000004,13935.53571,6231981.83,15.026429476880008
138,parkchester,bronx,773.0,0.3294549557442341,14.294954721862874,2346.299506267265,bronx,12717,3.226,70.703,28406.28,38600.11749185097
139,pelham bay-country club-city island,bronx,3047.0,1.4396282880797178,14.215621923203152,2116.518566097581,bronx,5283,20.43289,536.15058,65619.84,3669.697270985731
140,pelham parkway,bronx,2177.0,0.8261799867245213,14.026182820395038,2635.019045463627,bronx,2403,41.50875,991.8072099999999,288377.08,2908.5671870689457
141,pomonok-flushing heights-hillcrest,queens,4766.0,1.3930482593693438,14.011749895090222,3421.2741503712496,queens,5555,36.67508,814.6732900000001,135118.03,3987.6579742577196
142,port richmond,staten island,2995.0,1.3064646334688612,14.313856427378964,2292.446288460042,staten island,4753,17.53604,407.63536,51224.58,3638.062507195519
143,prospect heights,brooklyn,1463.0,0.3669715838642049,13.704716336295284,3986.6847034711336,brooklyn,3200,22.714560000000002,880.4195,126790.66,8720.021224270422
144,prospect lefferts gardens-wingate,brooklyn,2925.0,1.1348920018544952,14.362393162393165,2577.3377512753104,brooklyn,5414,41.966550000000005,903.77712,205096.7,4770.4979779160785
145,queens village,queens,6396.0,2.4941687049289767,13.635866166353969,2564.3814660011662,queens,11689,17.70111,444.04028999999997,40948.6,4686.531419025584
146,queensboro hill,queens,2701.0,0.952773049120433,13.872639763050726,2834.8828742516057,queens,4343,21.701810000000002,778.74169,69884.1,4558.273351675204
147,queensbridge-ravenswood-long island city,queens,1305.0,0.8363834637783935,13.842911877394636,1560.2890976641434,queens,2011,94.71763,1092.94717,384662.47,2404.3995213812964
148,rego park,queens,2283.0,0.7153105452464924,13.893999123959704,3191.620779494156,queens,4383,43.55082,752.58856,175277.69,6127.408618713485
149,richmond hill,queens,4713.0,1.8285983475270802,13.851050286441755,2577.3839325479344,queens,9575,22.076040000000003,568.0712900000001,76927.65,5236.251040557282
150,ridgewood,queens,6095.0,1.8112652194745889,13.047579983593108,3365.051089408119,queens,8658,23.244,597.2369,93627.13,4780.084057767923
151,rosedale,queens,5170.0,2.2084933551208703,14.133462282398453,2340.962443021273,queens,5336,-173.87014000000002,544.50991,-317672.81,2416.1268077294994
152,rossville-woodrow,staten island,8840.0,2.3302398217795353,14.122171945701355,3793.6009493002116,staten island,5993,20.080470000000002,573.0923,48343.22,2571.8382906285256
153,rugby-remsen village,brooklyn,3178.0,1.173200265492237,14.22435494021397,2708.829935924549,brooklyn,6703,23.253259999999997,504.50011,86686.86,5713.432051762822
154,schuylerville-throgs neck-edgewater park,bronx,4851.0,3.1723471951117723,14.334157905586475,1529.1516664616158,bronx,8482,30.333830000000003,545.82054,70496.01,2673.7300422443677
155,seagate-coney island,brooklyn,1357.0,1.3911139420052376,12.980840088430359,975.4772481425473,brooklyn,3052,55.3746,641.99751,173470.69,2193.925247848971
156,sheepshead bay-gerritsen beach-manhattan beach,brooklyn,4891.0,2.2720636683990425,13.24473522796974,2152.668548873162,brooklyn,11352,30.373009999999997,594.493,94649.37,4996.338860520985
157,soho-tribeca-civic center-little italy,manhattan,2128.0,0.8979241175964063,13.32706766917293,2369.910728866825,manhattan,10243,167.62285,2461.69073,967588.16,11407.422742379176
158,soundview-bruckner,bronx,1849.0,0.5830090065068243,14.264467279610601,3171.477591878946,bronx,2124,29.61281,598.35235,134402.88,3643.16841814542
159,soundview-castle hill-clason point-harding park,bronx,3589.0,1.864662157874816,14.125104485929226,1924.7454477707845,bronx,4973,35.29379,586.99446,130669.72,2666.9710537096994
160,south jamaica,queens,3890.0,1.4337956605543642,14.233933161953725,2713.0783744288683,queens,7174,15.5226,423.5301,43471.85,5003.502379987841
161,south ozone park,queens,6886.0,2.9578954865843152,13.950043566656985,2328.006527354263,queens,14502,20.11066,497.88512,57276.8,4902.810145177392
162,springfield gardens north,queens,2809.0,1.0198810813784398,14.448202207191171,2754.242677198642,queens,3049,22.62045,512.03792,65359.94,2989.5642302522815
163,springfield gardens south-brookville,queens,3567.0,1.5527609062750058,14.157555368657134,2297.198484058341,queens,4144,28.08558,528.33736,80896.69,2668.794650389057
164,spuyten duyvil-kingsbridge,bronx,1813.0,0.8326917140079785,13.690016547159404,2177.27637912178,bronx,1842,68.37438,1056.2699499999999,345890.54,2212.103193790578
165,st. albans,queens,6767.0,2.7768002507424248,14.356435643564355,2436.9775961345176,queens,12057,18.25889,438.34807,41924.35,4342.048008954319
166,stapleton-rosebank,staten island,3625.0,1.6655420083325407,13.773793103448277,2176.468670177328,staten island,5762,19.45157,404.42422999999997,59300.03,3459.5344765687614
167,starrett city,brooklyn,682.0,0.41605516543632026,14.39882697947214,1639.205703130212,brooklyn,177,287.45528,3590.02823,1482230.17,425.4243540381928
168,steinway,queens,4913.0,2.0705801216929087,13.928353348259721,2372.7649794991394,queens,8296,26.7073,748.3721999999999,94446.44,4006.6066089812457
169,stuyvesant heights,brooklyn,3773.0,1.1265688078583689,14.116087993639017,3349.1074612411408,brooklyn,7677,15.847629999999999,631.80542,78210.32,6814.497211754105
170,stuyvesant town-cooper village,manhattan,428.0,0.20023685059221516,14.509345794392527,2137.4686963671206,manhattan,5,30697.47,328165.4,147674430.0,24.970428695877576
171,sunset park east,brooklyn,3020.0,0.972439826457048,14.13245033112583,3105.590616339685,brooklyn,6981,22.13213,774.48159,95300.6,7178.850361810378
172,sunset park west,brooklyn,3114.0,1.7931450863607254,13.938664097623635,1736.613519835148,brooklyn,6252,46.198370000000004,931.1545699999999,212003.22,3486.6113442547676
173,todt hill-emerson hill-heartland village-lighthouse hill,staten island,4688.0,6.631711614906646,13.112201365187714,706.9064929576242,staten island,9871,57.26753,740.38923,114300.16,1488.4543498260898
174,turtle bay-east midtown,manhattan,2162.0,0.6237504241958036,13.466697502312671,3466.1299073061937,manhattan,9511,409.3483,4002.1385299999997,1747523.61,15248.085822566703
175,university heights-morris heights,bronx,1988.0,0.7624356298998284,13.52364185110664,2607.433233755341,bronx,1591,43.474419999999995,962.24829,314018.91,2086.7335386844807
