ntaname,borough,count,avg.land value/acre,property value,avtot
marble hill-inwood,manhattan,860,157755.09,2096650.80,879892.43
mariner's harbor-arlington-port ivory-graniteville,staten island,7023,24770.76,379153.80,60411.57
maspeth,queens,6616,23659.53,663973.71,82456.11
melrose south-mott haven north,bronx,2099,44947.86,956500.82,342354.97
middle village,queens,9893,25981.42,651419.16,56679.58
midtown-midtown south,manhattan,9865,1167802.37,9993068.95,4477268.55
midwood,brooklyn,6719,34652.76,969924.14,117488.10
morningside heights,manhattan,2080,178333.29,2462668.76,1069853.81
morrisania-melrose,bronx,2404,29434.14,674841.07,204899.80
mott haven-port morris,bronx,2253,64715.47,1184852.40,453150.60
mount hope,bronx,1329,43905.93,1110306.81,405051.36
murray hill,queens,8719,32128.03,776190.31,95629.89
murray hill-kips bay,manhattan,7096,289918.85,2675007.59,1123738.09
new brighton-silver lake,staten island,4955,21668.15,479766.27,57285.64
new dorp-midland beach,staten island,7103,21199.64,402919.73,49519.73
new springville-bloomfield-travis,staten island,10466,39958.61,579138.18,95061.25
north corona,queens,4668,28954.51,622779.80,100557.05
north riverdale-fieldston-riverdale,bronx,2556,82930.38,1352510.09,316447.00
north side-south side,brooklyn,8763,30083.35,579570.06,166506.40
norwood,bronx,1103,64040.50,1458253.25,573313.11
oakland gardens,queens,4716,36079.51,887847.55,104250.17
oakwood-oakwood beach,staten island,6150,15313.66,483593.05,45224.13
ocean hill,brooklyn,4061,23415.85,558439.53,85716.52
ocean parkway south,brooklyn,2854,37279.79,1003009.69,97458.60
old astoria,queens,3706,29748.14,601207.16,137713.48
old town-dongan hills-south beach,staten island,6452,28880.91,464874.61,67984.35
ozone park,queens,4574,18601.86,496770.84,53894.54
park slope-gowanus,brooklyn,12893,27144.16,1351076.10,159127.23
park-cemetery-etc-bronx,bronx,25,19991956.20,56806315.32,25551236.12
park-cemetery-etc-brooklyn,brooklyn,111,6010767.58,19351998.01,8693710.41
park-cemetery-etc-manhattan,manhattan,21,-50138373.62,409841904.76,-20093395.05
park-cemetery-etc-queens,queens,168,2365620.97,13935535.71,6231981.83
park-cemetery-etc-staten islandland,staten island,3,1799550.00,5219000.00,2348550.00
parkchester,bronx,12717,3226.00,70703.00,28406.28
pelham bay-country club-city island,bronx,5283,20432.89,536150.58,65619.84
pelham parkway,bronx,2403,41508.75,991807.21,288377.08
pomonok-flushing heights-hillcrest,queens,5555,36675.08,814673.29,135118.03
port richmond,staten island,4753,17536.04,407635.36,51224.58
prospect heights,brooklyn,3200,22714.56,880419.50,126790.66
prospect lefferts gardens-wingate,brooklyn,5414,41966.55,903777.12,205096.70
queens village,queens,11689,17701.11,444040.29,40948.60
queensboro hill,queens,4343,21701.81,778741.69,69884.10
queensbridge-ravenswood-long island city,queens,2011,94717.63,1092947.17,384662.47
rego park,queens,4383,43550.82,752588.56,175277.69
richmond hill,queens,9575,22076.04,568071.29,76927.65
ridgewood,queens,8658,23244.00,597236.90,93627.13
rikers island,bronx,2,44014725.00,543476500.00,244564425.00
rikers island,queens,1,630000.00,2081000.00,936450.00
rosedale,queens,5336,-173870.14,544509.91,-317672.81
rossville-woodrow,staten island,5993,20080.47,573092.30,48343.22
rugby-remsen village,brooklyn,6703,23253.26,504500.11,86686.86
schuylerville-throgs neck-edgewater park,bronx,8482,30333.83,545820.54,70496.01
seagate-coney island,brooklyn,3052,55374.60,641997.51,173470.69
sheepshead bay-gerritsen beach-manhattan beach,brooklyn,11352,30373.01,594493.00,94649.37
soho-tribeca-civic center-little italy,manhattan,10243,167622.85,2461690.73,967588.16
soundview-bruckner,bronx,2124,29612.81,598352.35,134402.88
soundview-castle hill-clason point-harding park,bronx,4973,35293.79,586994.46,130669.72
south jamaica,queens,7174,15522.60,423530.10,43471.85
south ozone park,queens,14502,20110.66,497885.12,57276.80
springfield gardens north,queens,3049,22620.45,512037.92,65359.94
springfield gardens south-brookville,queens,4144,28085.58,528337.36,80896.69
spuyten duyvil-kingsbridge,bronx,1842,68374.38,1056269.95,345890.54
st. albans,queens,12057,18258.89,438348.07,41924.35
stapleton-rosebank,staten island,5762,19451.57,404424.23,59300.03
starrett city,brooklyn,177,287455.28,3590028.23,1482230.17
steinway,queens,8296,26707.30,748372.20,94446.44
stuyvesant heights,brooklyn,7677,15847.63,631805.42,78210.32
stuyvesant town-cooper village,manhattan,5,30697470.00,328165400.00,147674430.00
sunset park east,brooklyn,6981,22132.13,774481.59,95300.60
sunset park west,brooklyn,6252,46198.37,931154.57,212003.22
todt hill-emerson hill-heartland village-lighthouse hill,staten island,9871,57267.53,740389.23,114300.16
