,ntaname,borough,count,shape_area,health,trees/sq.mile
133,park-cemetery-etc-bronx,bronx,1402,7.921584642088428,13.930099857346647,176.98479071358884
134,park-cemetery-etc-brooklyn,brooklyn,1898,8.208484340457264,13.4536354056902,231.2241726094673
135,park-cemetery-etc-brooklyn,queens,7,8.208484340457128,12.857142857142858,0.852776189813645
136,park-cemetery-etc-manhattan,manhattan,1233,3.2836659368291476,14.46066504460665,375.49495707551756
137,park-cemetery-etc-queens,queens,2050,11.180300700075719,13.046341463414635,183.35821683097632
138,parkchester,bronx,773,0.32945495574423406,14.294954721862872,2346.299506267265
139,pelham bay-country club-city island,bronx,3047,1.4396282880797178,14.21562192320315,2116.5185660975812
140,pelham parkway,bronx,2177,0.8261799867245213,14.02618282039504,2635.0190454636268
141,pomonok-flushing heights-hillcrest,queens,4766,1.3930482593693438,14.011749895090222,3421.2741503712496
142,port richmond,staten island,2995,1.3064646334688612,14.313856427378965,2292.446288460042
143,prospect heights,brooklyn,1463,0.3669715838642049,13.704716336295284,3986.6847034711336
144,prospect lefferts gardens-wingate,brooklyn,2925,1.1348920018544952,14.362393162393163,2577.3377512753104
145,queens village,queens,6396,2.4941687049289767,13.63586616635397,2564.3814660011662
146,queensboro hill,queens,2701,0.952773049120433,13.872639763050723,2834.882874251606
147,queensbridge-ravenswood-long island city,queens,1305,0.8363834637783935,13.842911877394636,1560.2890976641431
148,rego park,queens,2283,0.7153105452464924,13.893999123959702,3191.620779494156
149,richmond hill,queens,4713,1.82859834752708,13.851050286441756,2577.3839325479344
150,ridgewood,queens,6095,1.8112652194745886,13.04757998359311,3365.051089408119
151,rosedale,queens,5170,2.2084933551208703,14.133462282398453,2340.962443021273
152,rossville-woodrow,staten island,8840,2.330239821779535,14.122171945701357,3793.600949300212
153,rugby-remsen village,brooklyn,3178,1.173200265492237,14.22435494021397,2708.8299359245484
154,schuylerville-throgs neck-edgewater park,bronx,4851,3.1723471951117723,14.334157905586476,1529.151666461616
155,seagate-coney island,brooklyn,1357,1.3911139420052376,12.98084008843036,975.4772481425471
156,sheepshead bay-gerritsen beach-manhattan beach,brooklyn,4891,2.2720636683990425,13.24473522796974,2152.668548873162
157,soho-tribeca-civic center-little italy,manhattan,2128,0.8979241175964063,13.327067669172932,2369.910728866825
158,soundview-bruckner,bronx,1849,0.5830090065068243,14.264467279610601,3171.477591878946
159,soundview-castle hill-clason point-harding park,bronx,3589,1.8646621578748162,14.125104485929228,1924.7454477707843
160,south jamaica,queens,3890,1.4337956605543642,14.233933161953727,2713.0783744288683
161,south ozone park,queens,6886,2.9578954865843152,13.950043566656985,2328.006527354263
162,springfield gardens north,queens,2809,1.0198810813784398,14.448202207191171,2754.242677198642
163,springfield gardens south-brookville,queens,3567,1.5527609062750058,14.157555368657135,2297.1984840583414
164,spuyten duyvil-kingsbridge,bronx,1813,0.8326917140079785,13.690016547159404,2177.27637912178
165,st. albans,queens,6767,2.7768002507424248,14.356435643564357,2436.9775961345176
166,stapleton-rosebank,staten island,3625,1.6655420083325407,13.773793103448275,2176.4686701773276
167,starrett city,brooklyn,682,0.41605516543632026,14.39882697947214,1639.205703130212
168,steinway,queens,4913,2.0705801216929087,13.92835334825972,2372.7649794991394
169,stuyvesant heights,brooklyn,3773,1.1265688078583689,14.116087993639015,3349.1074612411403
170,stuyvesant town-cooper village,manhattan,428,0.20023685059221513,14.509345794392523,2137.4686963671206
171,sunset park east,brooklyn,3020,0.9724398264570481,14.132450331125828,3105.590616339685
172,sunset park west,brooklyn,3114,1.7931450863607254,13.938664097623635,1736.613519835148
173,todt hill-emerson hill-heartland village-lighthouse hill,staten island,4688,6.631711614906646,13.112201365187714,706.9064929576243
174,turtle bay-east midtown,manhattan,2162,0.6237504241958036,13.466697502312673,3466.129907306194
175,university heights-morris heights,bronx,1988,0.7624356298998284,13.523641851106639,2607.433233755341
176,upper east side-carnegie hill,manhattan,4080,0.7197459028423823,13.46200980392157,5668.667211424867
177,upper west side,manhattan,5616,1.2332107472702776,13.91826923076923,4553.966150904104
178,van cortlandt village,bronx,2235,0.920645554734154,14.011185682326621,2427.644372480981
179,van nest-morris park-westchester square,bronx,3001,1.3021686774168586,14.346884371876042,2304.616945596596
180,washington heights north,manhattan,2410,0.8130792085449333,13.029045643153527,2964.040864250947
181,washington heights south,manhattan,2695,0.8283410806107483,13.166975881261596,3253.4906973501015
182,west brighton,brooklyn,459,0.31346020585614726,13.159041394335512,1464.3007036454371
183,west concourse,bronx,1979,0.6951552944107438,13.441131884790298,2846.8459003502544
184,west farms-bronx river,bronx,1551,0.5410994237940614,14.042553191489361,2866.386345645601
185,west new brighton-new brighton-st. george,staten island,3756,2.0098156683813997,14.034877529286476,1868.8281015466885
186,west village,manhattan,3675,0.8956988268337143,13.363265306122448,4102.9416249110045
187,westchester-unionport,bronx,2709,0.8589162138214336,14.167589516426725,3153.9746909041282
188,westerleigh,staten island,4844,2.2689226126677076,14.410611065235342,2134.933987151118
189,whitestone,queens,7255,2.476853259458788,14.436940041350793,2929.119830694078
190,williamsbridge-olinville,bronx,3085,1.3011361977946818,14.108589951377633,2371.00466901837
191,williamsburg,brooklyn,1595,0.4157336194508971,14.376175548589341,3836.5913300605407
192,windsor terrace,brooklyn,2030,0.5036755361211419,14.098522167487685,4030.3724410227323
193,woodhaven,queens,3956,1.3272078527031292,14.122851365015167,2980.6936358482208
194,woodlawn-wakefield,bronx,3802,1.4254328220341388,14.251709626512362,2667.2600358496184
195,woodside,queens,2610,1.0132654194179107,13.802681992337165,2575.8305277005934
196,yorkville,manhattan,2133,0.4879069150094836,13.12470698546648,4371.735538854866
