,ntaname,borough,area,health,trees/sq.mile,avg.landprice_thous$/acre,avg.propvalue_thous$/acre,properties/sq.mile
76,gravesend,brooklyn,1.12,13.63,1176.8,39.08,624.85,3329.37
77,great kills,staten island,3.21,13.62,3193.94,14.55,465.36,3963.26
78,greenpoint,brooklyn,1.27,13.86,2598.26,34.35,771.15,4637.72
79,grymes hill-clifton-fox hills,staten island,1.35,14.08,1803.3,24.34,449.71,3030.6
80,hamilton heights,manhattan,0.58,13.7,3981.85,59.38,1091.9,3819.05
82,highbridge,bronx,0.59,13.44,2830.59,45.09,918.01,1788.81
83,hollis,queens,0.82,14.34,2965.95,18.52,472.06,4434.91
84,homecrest,brooklyn,1.08,13.59,3785.04,28.68,1015.41,5627.37
85,hudson yards-chelsea-flatiron-union square,manhattan,1.33,14.38,2136.66,314.23,3319.87,7526.07
86,hunters point-sunnyside-west maspeth,queens,3.67,13.47,1365.04,75.33,1128.95,2295.67
87,hunts point,bronx,1.78,13.82,1846.04,103.64,1205.92,979.36
88,jackson heights,queens,1.72,13.74,3802.8,138.31,1475.55,5283.61
89,jamaica,queens,1.7,13.89,2382.52,61.85,853.48,3313.61
90,jamaica estates-holliswood,queens,1.53,14.1,2583.27,38.2,871.46,2729.86
91,kensington-ocean parkway,brooklyn,0.57,13.69,3776.57,31.14,802.75,5327.19
92,kew gardens,queens,0.74,13.33,2622.71,59.64,837.51,3307.19
93,kew gardens hills,queens,1.36,14.19,3606.88,45.54,817.55,3787.15
94,kingsbridge heights,bronx,0.47,13.71,2353.01,77.59,2101.56,1569.38
95,laurelton,queens,1.43,13.65,3093.01,15.8,449.84,4435.61
96,lenox hill-roosevelt island,manhattan,0.77,12.72,2870.97,232.09,2164.7,10900.62
99,lindenwood-howard beach,queens,2.32,13.77,1891.41,17.86,471.86,2771.04
100,longwood,bronx,0.38,14.24,3834.03,35.5,800.67,3192.43
101,lower east side,manhattan,0.84,13.43,2208.99,309.16,3120.49,2183.86
102,madison,brooklyn,0.98,13.84,3423.3,23.47,677.08,6648.05
103,manhattanville,manhattan,0.38,13.6,2257.07,315.56,4796.59,1238.51
104,marble hill-inwood,bronx,0.64,13.74,454.35,157.76,2096.65,1352.05
105,marble hill-inwood,manhattan,0.64,12.94,2122.4,157.76,2096.65,1352.05
106,mariner's harbor-arlington-port ivory-graniteville,staten island,3.19,13.6,1121.73,24.77,379.15,2199.3
107,maspeth,queens,1.28,13.86,2430.83,23.66,663.97,5176.18
108,melrose south-mott haven north,bronx,0.62,13.67,3223.36,44.95,956.5,3388.0
109,middle village,queens,2.07,14.05,2437.22,25.98,651.42,4781.16
110,midtown-midtown south,manhattan,1.08,12.61,1048.96,1167.8,9993.07,9109.19
111,midwood,brooklyn,1.28,13.65,3632.02,34.65,969.92,5232.32
112,morningside heights,manhattan,0.72,13.62,3446.79,178.33,2462.67,2876.93
113,morrisania-melrose,bronx,0.61,13.96,3523.64,29.43,674.84,3967.6
114,mott haven-port morris,bronx,1.5,13.49,1581.61,64.72,1184.85,1499.1
115,mount hope,bronx,0.53,13.7,3563.25,43.91,1110.31,2517.57
116,murray hill,queens,1.88,14.36,3631.91,32.13,776.19,4630.97
117,murray hill-kips bay,manhattan,0.52,12.98,3190.86,289.92,2675.01,13656.42
118,new brighton-silver lake,staten island,1.69,14.39,2036.89,21.67,479.77,2930.54
119,new dorp-midland beach,staten island,1.99,14.09,2685.27,21.2,402.92,3572.47
120,new springville-bloomfield-travis,staten island,11.76,13.93,688.44,39.96,579.14,890.19
121,north corona,queens,0.65,14.0,3315.83,28.95,622.78,7229.46
122,north riverdale-fieldston-riverdale,bronx,1.76,13.99,1062.88,82.93,1352.51,1452.8
123,north side-south side,brooklyn,1.04,14.21,3158.68,30.08,579.57,8462.08
124,norwood,bronx,0.56,13.88,3029.85,64.04,1458.25,1955.49
125,oakland gardens,queens,1.83,14.04,3043.63,36.08,887.85,2577.44
126,oakwood-oakwood beach,staten island,2.01,13.87,2720.0,15.31,483.59,3063.73
127,ocean hill,brooklyn,0.72,14.23,3138.94,23.42,558.44,5635.37
128,ocean parkway south,brooklyn,0.64,13.7,3878.69,37.28,1003.01,4474.44
129,old astoria,queens,0.56,13.83,2222.12,29.75,601.21,6614.6
