borough,health,trees/sq.mile,avg.landprice_thous$/acre,properties/sq.mile
bronx,13.897567567567569,2575.7689189189186,56.952162162162175,3636.815945945946
brooklyn,13.80686274509804,2840.4678431372545,37.25411764705883,5551.34725490196
manhattan,13.459999999999999,3307.277692307693,219.82884615384617,8028.133846153845
queens,13.878928571428574,2678.568035714287,35.66357142857143,4278.410714285713
staten island,13.924444444444447,2130.842777777778,24.254444444444445,2752.206111111111
